(1, 195, 3.74)
(2, 118, 3.59)
(3, 2056, 3.56)
(4, 179, 3.54)
(5, 3620, 3.48)
(6, 5172, 3.44)
(7, 1024, 3.4)
(8, 2771, 3.33)
(9, 67, 3.32)
(10, 1241, 3.32)
(11, 868, 3.3)
(12, 133, 3.22)
(13, 2451, 3.19)
(14, 341, 3.16)
(15, 330, 3.15)
(16, 33, 3.15)
(17, 27, 3.15)
(18, 25, 3.14)
(19, 494, 3.12)
(20, 225, 3.1)
(21, 1058, 3.08)
(22, 3824, 3.08)
(23, 2052, 3.08)
(24, 5254, 3.06)
(25, 1114, 3.05)
(26, 16, 3.05)
(27, 1806, 3.04)
(28, 2481, 3.04)
(29, 3683, 3.0)
(30, 3476, 3.0)
(31, 2590, 2.98)
(32, 610, 2.96)
(33, 4587, 2.96)
(34, 5460, 2.95)
(35, 2767, 2.94)
(36, 217, 2.94)
(37, 1023, 2.93)
(38, 2013, 2.91)
(39, 379, 2.91)
(40, 3357, 2.91)
(41, 71, 2.9)
(42, 1731, 2.89)
(43, 3130, 2.89)
(44, 624, 2.89)
(45, 910, 2.87)
(46, 1619, 2.86)
(47, 135, 2.85)
(48, 2468, 2.85)
(49, 1746, 2.83)
(50, 346, 2.8)
(51, 1747, 2.8)
(52, 3538, 2.78)
(53, 234, 2.76)
(54, 1310, 2.76)
(55, 2338, 2.75)
(56, 20, 2.75)
(57, 1640, 2.75)
(58, 3015, 2.74)
(59, 461, 2.72)
(60, 2502, 2.68)
(61, 4039, 2.67)
(62, 1011, 2.67)
(63, 1718, 2.65)
(64, 45, 2.64)
(65, 1257, 2.61)
(66, 1086, 2.61)
(67, 233, 2.6)
(68, 2823, 2.6)
(69, 503, 2.56)
(70, 2614, 2.55)
(71, 245, 2.52)
(72, 1511, 2.52)
(73, 1675, 2.51)
(74, 1529, 2.49)
(75, 1720, 2.48)
(76, 2826, 2.46)
(77, 1405, 2.14)
